"EMDriverAssist.exe","312796","Console","11","37,400 K"
"taskhostw.exe","329376","Console","11","24,132 K"
"OneDrive.Sync.Service.exe","315128","Console","11","15,976 K"
"chrome.exe","319772","Console","11","14,704 K"
"DataExchangeHost.exe","333484","Console","11","40,844 K"
"chrome.exe","301024","Console","11","105,592 K"
"OpenConsole.exe","323724","Console","11","11,936 K"
"powershell.exe","314820","Console","11","50,624 K"
"claude.exe","313180","Console","11","365,132 K"
"explorer.exe","308276","Console","11","409,916 K"
"StartMenuExperienceHost.exe","334524","Console","11","130,236 K"
"SearchHost.exe","331268","Console","11","119,068 K"
"UserOOBEBroker.exe","334264","Console","11","11,384 K"
"TextInputHost.exe","301448","Console","11","93,184 K"
"Widgets.exe","331572","Console","11","56,856 K"
"msedgewebview2.exe","333992","Console","11","111,532 K"
"msedgewebview2.exe","315980","Console","11","13,664 K"
"msedgewebview2.exe","313460","Console","11","45,836 K"
"msedgewebview2.exe","316132","Console","11","42,308 K"
"msedgewebview2.exe","310184","Console","11","21,632 K"
"msedgewebview2.exe","302760","Console","11","84,248 K"
"dllhost.exe","316392","Console","11","14,896 K"
"svchost.exe","317400","Services","0","8,880 K"
"OpenConsole.exe","335864","Console","11","12,264 K"
"powershell.exe","317752","Console","11","61,128 K"
"cmd.exe","332928","Console","11","6,728 K"
"conhost.exe","313452","Console","11","10,608 K"
"sort.exe","268424","Console","11","4,912 K"
"findstr.exe","294348","Console","11","5,712 K"
"more.com","316408","Console","11","4,628 K"
"cmd.exe","315168","Console","11","6,832 K"
"conhost.exe","311400","Console","11","10,584 K"
"sort.exe","298196","Console","11","4,924 K"
"findstr.exe","334760","Console","11","5,708 K"
"more.com","328136","Console","11","4,640 K"
"svchost.exe","301616","Console","11","46,584 K"
"GameBar.exe","293700","Console","11","77,100 K"
"GameBarFTServer.exe","299404","Console","11","22,212 K"
"RuntimeBroker.exe","317164","Console","11","34,892 K"
"chrome.exe","340996","Console","11","175,336 K"
"Codex.exe","266988","Console","11","132,068 K"
"Codex.exe","274460","Console","11","11,428 K"
"Codex.exe","331548","Console","11","9,092 K"
"Codex.exe","291740","Console","11","85,204 K"
"Codex.exe","340532","Console","11","40,184 K"
"Codex.exe","294700","Console","11","20,540 K"
"codex.exe","340424","Console","11","107,984 K"
"conhost.exe","310992","Console","11","8,168 K"
"Codex.exe","298620","Console","11","218,812 K"
"Codex.exe","337132","Console","11","28,244 K"
"Codex.exe","342864","Console","11","41,832 K"
"WeChat.exe","334236","Console","11","210,752 K"
"mmcrashpad_handler64.exe","342492","Console","11","11,240 K"
"WeChatAppEx.exe","272660","Console","11","70,148 K"
"WeChatAppEx.exe","331440","Console","11","11,744 K"
"WeChatAppEx.exe","289384","Console","11","39,092 K"
"WeChatAppEx.exe","319240","Console","11","91,940 K"
"WeChatPlayer.exe","304744","Console","11","22,040 K"
"WeChatUtility.exe","334388","Console","11","13,064 K"
"WeChatAppEx.exe","333908","Console","11","66,392 K"
"WeChatAppEx.exe","342672","Console","11","36,340 K"
"WeChatAppEx.exe","325216","Console","11","2,284 K"
"WeChatOCR.exe","335380","Console","11","12,864 K"
"WeChatAppEx.exe","275516","Console","11","51,484 K"
"WeChatAppEx.exe","343696","Console","11","31,948 K"
"ApplicationFrameHost.exe","325544","Console","11","44,888 K"
"SystemSettings.exe","318724","Console","11","3,836 K"
"QQMusic.exe","347656","Console","11","138,192 K"
"msedge.exe","265616","Console","11","110,472 K"
"msedge.exe","347780","Console","11","16,224 K"
"msedge.exe","267272","Console","11","14,504 K"
"msedge.exe","318880","Console","11","52,216 K"
"msedge.exe","327656","Console","11","25,592 K"
"msedge.exe","311300","Console","11","56,692 K"
"msedge.exe","347288","Console","11","52,536 K"
"msedge.exe","272820","Console","11","51,876 K"
"msedge.exe","301704","Console","11","55,040 K"
"msedge.exe","285640","Console","11","42,064 K"
"msedge.exe","336892","Console","11","52,896 K"
"msedge.exe","337788","Console","11","52,120 K"
"msedge.exe","316176","Console","11","57,368 K"
"msedge.exe","345356","Console","11","61,952 K"
"audiodg.exe","346600","Services","0","20,584 K"
"qmbrowser.exe","315748","Console","11","105,200 K"
"powershell.exe","299900","Console","11","3,556 K"
"msedge.exe","292388","Console","11","17,556 K"
"msedge.exe","291996","Console","11","32,524 K"
"RuntimeBroker.exe","334088","Console","11","29,080 K"
"git.exe","333184","Console","11","10,320 K"
"msedge.exe","282428","Console","11","22,348 K"
"OpenConsole.exe","275820","Console","11","11,936 K"
"powershell.exe","348704","Console","11","62,056 K"
"OpenConsole.exe","335168","Console","11","11,848 K"
"powershell.exe","336056","Console","11","54,428 K"
"claude.exe","335284","Console","11","340,224 K"
"ShellHost.exe","329952","Console","11","47,272 K"
"clash-verge.exe","294948","Console","11","53,604 K"
"msedgewebview2.exe","282040","Console","11","61,892 K"
"msedgewebview2.exe","345104","Console","11","13,576 K"
"msedgewebview2.exe","342888","Console","11","58,856 K"
"msedgewebview2.exe","322320","Console","11","39,208 K"
"msedgewebview2.exe","289160","Console","11","20,708 K"
"msedgewebview2.exe","326468","Console","11","201,032 K"
"verge-mihomo.exe","262952","Services","0","39,480 K"
"conhost.exe","266024","Services","0","11,508 K"
"WmiApSrv.exe","277772","Services","0","11,640 K"
"msedge.exe","298996","Console","11","22,392 K"
"Typora.exe","332204","Console","11","39,052 K"
"Typora.exe","319656","Console","11","71,784 K"
"Typora.exe","332420","Console","11","47,612 K"
"Typora.exe","314116","Console","11","69,820 K"
"msedge.exe","311856","Console","11","97,800 K"
"PhoneExperienceHost.exe","315252","Console","11","142,400 K"
"msedge.exe","344656","Console","11","68,292 K"
"DrMain.exe","322224","Console","11","15,872 K"
"DrUpdate.exe","348644","Console","11","22,660 K"
"DrClient.exe","345888","Console","11","35,356 K"
"chrome.exe","334668","Console","11","29,580 K"
"chrome.exe","317072","Console","11","83,872 K"
"msedge.exe","294548","Console","11","74,904 K"
"msedge.exe","342908","Console","11","73,600 K"
"msedge.exe","300480","Console","11","68,616 K"
"msedge.exe","335280","Console","11","68,100 K"
"msedge.exe","293040","Console","11","18,424 K"
"msedge.exe","328928","Console","11","69,584 K"
"msedge.exe","336120","Console","11","67,200 K"
"msedge.exe","329332","Console","11","67,392 K"
"msedge.exe","309116","Console","11","32,792 K"
"chrome.exe","329436","Console","11","126,476 K"
"conhost.exe","335180","Console","11","7,812 K"
"bash.exe","290204","Console","11","7,656 K"
"bash.exe","293848","Console","11","7,580 K"
"python.exe","339660","Console","11","15,184 K"
"conhost.exe","325836","Console","11","7,896 K"
"bash.exe","322732","Console","11","7,548 K"
"bash.exe","290508","Console","11","7,540 K"
"python.exe","337940","Console","11","8,840 K"
"conhost.exe","312020","Console","11","7,856 K"
"bash.exe","281236","Console","11","7,724 K"
"bash.exe","336468","Console","11","7,604 K"
"python.exe","345228","Console","11","12,540 K"
"conhost.exe","345628","Console","11","7,996 K"
"bash.exe","339604","Console","11","9,376 K"
"bash.exe","344420","Console","11","9,204 K"
"python.exe","303440","Console","11","14,348 K"
"claude.exe","347216","Console","11","224,088 K"
"git.exe","323548","Console","11","7,040 K"
"git.exe","342760","Console","11","7,044 K"
"git.exe","326320","Console","11","7,028 K"
"git.exe","344636","Console","11","7,040 K"
"chrome.exe","349672","Console","11","72,288 K"
"chrome.exe","350164","Console","11","31,584 K"
"smartscreen.exe","305908","Console","11","13,804 K"
"svchost.exe","327700","Services","0","37,532 K"
"pythonw.exe","347580","Console","11","151,244 K"
"WmiPrvSE.exe","349592","Services","0","19,172 K"
"msedgewebview2.exe","335460","Console","11","138,972 K"
"msedgewebview2.exe","347380","Console","11","20,088 K"
"msedgewebview2.exe","339284","Console","11","114,688 K"
"msedgewebview2.exe","273748","Console","11","40,316 K"
"msedgewebview2.exe","333012","Console","11","21,744 K"
"msedgewebview2.exe","340052","Console","11","95,120 K"
"svchost.exe","314868","Services","0","10,520 K"
"cmd.exe","346036","Console","11","8,032 K"
"conhost.exe","346744","Console","11","10,904 K"
"tasklist.exe","294704","Console","11","11,652 K"
